휴게소명,도로노선번호,도로노선명,도로노선방향,latitude,longitude,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,약국유무,휴게소대표음식명,휴게소전화번호,데이터기준일자
공주(대전),30,당진영덕선,상행,36.496946,127.1666701,일반휴게소,0:00,23:59,49748,188,N,Y,Y,Y,N,,041-854-6060,2021-08-09
괴산(양평),45,중부내륙선,상행,36.831894,127.960141,일반휴게소,0:00,23:59,38776,90,N,Y,Y,Y,N,,043-832-6594,2021-08-09
괴산(창원),45,중부내륙선,하행,36.831456,127.957845,일반휴게소,0:00,23:59,37162,90,N,Y,Y,Y,N,,043-832-7966,2021-08-09
구리(일산),100,수도권제1순환선,하행,37.628023,127.139237,간이휴게소,0:00,23:59,19500,144,N,Y,Y,Y,N,,031-529-3564,2021-08-09
구정(삼척),65,동해선,하행,37.722214,128.8511601,일반휴게소,0:00,23:59,41920,230,N,Y,N,Y,N,,033-644-8345,2021-08-09
구정(속초),65,동해선,상행,37.723012,128.854228,일반휴게소,0:00,23:59,52345,226,N,Y,N,Y,N,,033-644-4760,2021-08-09
군산(목포),15,서해안선,하행,35.980591,126.828971,일반휴게소,0:00,23:59,14071,151,N,Y,Y,Y,N,,063-453-0402,2021-08-09
군산(서울),15,서해안선,상행,36.018831,126.797698,일반휴게소,0:00,23:59,50249,226,N,Y,Y,Y,N,,063-453-2818,2021-08-09
군위(부산),55,중앙선,하행,36.266556,128.574852,일반휴게소,0:00,23:59,36839,227,N,Y,Y,Y,N,,054-383-6114,2021-08-09
군위(춘천),55,중앙선,상행,36.266002,128.576774,일반휴게소,0:00,23:59,39273,227,N,Y,Y,Y,N,,054-383-7114,2021-08-09
금강(부산),1,경부선,하행,36.279148,127.672231,일반휴게소,0:00,23:59,17409,295,Y,Y,N,Y,N,,043-731-2233,2021-08-09
금산인삼랜드(대전),35,대전통영선,상행,36.154689,127.497681,일반휴게소,0:00,23:59,40492,187,N,Y,Y,Y,N,,041-754-9200,2021-08-09
금산인삼랜드(통영),35,대전통영선,하행,36.152874,127.495954,일반휴게소,0:00,23:59,48351,237,N,Y,Y,Y,N,,041-751-2892,2021-08-09
금왕(제천),40,평택제천선,하행,36.9694501,127.590845,간이휴게소,0:00,23:59,42829,170,N,Y,Y,Y,N,,043-881-0001,2021-08-09
금왕(평택),40,평택제천선,상행,36.970655,127.589499,간이휴게소,0:00,23:59,42627,170,N,Y,Y,Y,N,,043-877-7000,2021-08-09
기흥(부산),1,경부선,하행,37.235125,127.104595,일반휴게소,0:00,23:59,72615,418,N,Y,Y,Y,N,,031-286-5001,2021-08-09
김천(부산),1,경부선,하행,36.129252,128.164782,화물차휴게소,0:00,23:59,45224,193,N,Y,Y,Y,N,,054-435-0211,2021-08-09
김천(서울),1,경부선,상행,36.131107,128.164009,화물차휴게소,0:00,23:59,30577,163,N,Y,Y,Y,N,,054-433-1523,2021-08-09
김해금관가야,600,부산외곽선,양방향,35.269933,129.003134,일반휴게소,0:00,23:59,52100,337,N,Y,N,Y,N,,055-312-2820,2021-08-09
남성주참외(양평),45,중부내륙선,상행,35.858422,128.319904,일반휴게소,0:00,23:59,39978,136,N,Y,Y,Y,N,,054-931-5741,2021-08-09
남성주참외(창원),45,중부내륙선,하행,35.869015,128.316816,일반휴게소,0:00,23:59,38447,110,N,Y,Y,Y,N,,054-933-7105,2021-08-09
내린천,60,서울양양선,양방향,37.916535,128.286377,일반휴게소,0:00,23:59,88867,330,N,Y,Y,Y,N,,033-852-8619,2021-08-09
논공(광주),12,광주대구선,하행,35.767421,128.403493,일반휴게소,0:00,23:59,29234,125,N,Y,Y,Y,N,,070-4304-0600,2021-08-09
논공(대구),12,광주대구선,상행,35.764989,128.402909,일반휴게소,0:00,23:59,37766,156,N,Y,Y,Y,N,,070-4304-0620,2021-08-09
단양팔경(부산),55,중앙선,하행,36.995459,128.287616,일반휴게소,0:00,23:59,31481,112,N,Y,Y,Y,N,,043-423-5401,2021-08-09
단양팔경(춘천),55,중앙선,상행,36.942903,128.322142,일반휴게소,0:00,23:59,79980,111,N,Y,Y,Y,N,,043-421-1671,2021-08-09
대천(목포),15,서해안선,하행,36.372995,126.555684,일반휴게소,0:00,23:59,38519,196,Y,Y,Y,Y,N,,041-931-6901,2021-08-09
대천(서울),15,서해안선,상행,36.374457,126.558327,일반휴게소,0:00,23:59,49169,234,Y,Y,Y,Y,N,,041-931-6801,2021-08-09
덕유산(대전),35,대전통영선,상행,35.816481,127.646149,일반휴게소,0:00,23:59,43941,193,N,Y,Y,Y,N,,063-353-4200,2021-08-09
덕유산(통영),35,대전통영선,하행,35.813428,127.643173,일반휴게소,0:00,23:59,47737,206,N,Y,Y,Y,N,,063-353-5100,2021-08-09
덕평,50,영동선,양방향,37.241456,127.390189,일반휴게소,0:00,23:59,182761,670,N,Y,Y,Y,Y,,031-645-0001,2021-08-09
동명(부산),55,중앙선,하행,36.0069901,128.546504,일반휴게소,0:00,23:59,28095,235,N,Y,Y,Y,N,,054-977-6922,2021-08-09
동명(춘천),55,중앙선,상행,36.006426,128.5493901,일반휴게소,0:00,23:59,28096,194,N,Y,Y,Y,N,,054-977-6901,2021-08-09
동해(삼척),65,동해선,하행,37.601776,129.073636,일반휴게소,0:00,23:59,39724,86,N,Y,Y,Y,N,,033-534-6631,2021-08-09
마장,35,중부선,양방향,37.263849,127.407043,일반휴게소,0:00,23:59,103000,620,N,Y,Y,Y,Y,,031-630-0001,2021-08-09
망향(부산),1,경부선,하행,36.8556501,127.180929,일반휴게소,0:00,23:59,34779,332,Y,Y,Y,Y,N,,041-557-4000,2021-08-09
매송(목포),15,서해안선,하행,37.265084,126.888544,화물차휴게소,0:00,23:59,80395,394,N,Y,N,Y,N,,031-296-1501,2021-08-09
매송(서울),15,서해안선,상행,37.264769,126.891795,화물차휴게소,0:00,23:59,87552,396,N,Y,N,Y,N,,031-295-1501,2021-08-09
목감(서울),15,서해안선,상행,37.389393,126.869964,간이휴게소,0:00,23:59,19800,85,N,Y,Y,N,N,,031-411-0590,2021-08-09
문경(양평),45,중부내륙선,상행,36.621068,128.1523901,화물차휴게소,0:00,23:59,58347,177,N,Y,Y,Y,N,,054-554-1610,2021-08-09
문경(창원),45,중부내륙선,하행,36.620549,128.149982,화물차휴게소,0:00,23:59,74440,146,Y,Y,Y,Y,N,,054-554-1655,2021-08-09
문막(강릉),50,영동선,상행,37.335469,127.8582201,일반휴게소,0:00,23:59,42780,182,N,Y,Y,Y,Y,,033-731-8481,2021-08-09
문막(인천),50,영동선,하행,37.297853,127.817261,일반휴게소,0:00,23:59,18397,164,N,Y,N,Y,N,,033-747-8162,2021-08-09
문산(순천),10,남해선,하행,35.171374,128.151591,일반휴게소,0:00,23:59,52200,298,N,Y,Y,Y,N,,055-761-2820,2021-08-09
백양사(순천),25,호남선,하행,35.394425,126.805361,일반휴게소,0:00,23:59,31030,70,N,Y,Y,Y,N,,061-394-9990,2021-08-09
백양사(천안),25,호남선,상행,35.393018,126.807376,일반휴게소,0:00,23:59,29681,70,N,Y,Y,Y,N,,061-394-5177,2021-08-09
벌곡(논산),251,호남지선,하행,36.217974,127.273468,일반휴게소,0:00,23:59,27840,141,N,Y,Y,Y,N,,041-732-7694,2021-08-09
벌곡(대전),251,호남지선,상행,36.210451,127.270542,일반휴게소,0:00,23:59,24628,171,N,Y,Y,Y,N,,041-734-5250,2021-08-09
보성녹차(순천),10,남해선,하행,34.807313,127.181003,간이휴게소,0:00,23:59,27411,85,N,Y,Y,Y,N,,070-4325-8808,2021-08-09
보성녹차(영암),10,남해선,상행,34.807313,127.181003,간이휴게소,0:00,23:59,41433,71,N,Y,Y,Y,N,,070-4325-8801,2021-08-09
부여백제(공주),151,서천공주선,상행,36.258352,126.8000701,일반휴게소,0:00,23:59,71199,95,N,Y,Y,Y,N,,041-833-5400,2021-08-09
부여백제(서천),151,서천공주선,하행,36.258383,126.796755,일반휴게소,0:00,23:59,72611,99,N,Y,Y,Y,N,,041-834-5600,2021-08-09
사천(부산),10,남해선,상행,35.073173,128.010802,일반휴게소,0:00,23:59,21205,134,N,Y,Y,Y,N,,055-854-3134,2021-08-09
사천(순천),10,남해선,하행,35.074968,128.012589,일반휴게소,0:00,23:59,30117,131,N,Y,Y,Y,N,,055-854-3547,2021-08-09
산청(대전),35,대전통영선,상행,35.333522,127.938998,일반휴게소,0:00,23:59,30853,139,N,Y,Y,Y,N,,055-973-5970,2021-08-09
산청(통영),35,대전통영선,하행,35.333504,127.937049,일반휴게소,0:00,23:59,26830,104,N,Y,Y,Y,N,,055-973-9036,2021-08-09
서산(목포),15,서해안선,하행,36.742991,126.565029,일반휴게소,0:00,23:59,61600,266,Y,Y,Y,Y,N,,041-688-8814,2021-08-09
서산(서울),15,서해안선,상행,36.734194,126.566302,일반휴게소,0:00,23:59,53378,213,Y,Y,Y,Y,N,,041-688-7714,2021-08-09
서여주(양평),45,중부내륙,상행,37.278607,127.580501,간이휴게소,0:00,23:59,58111,70,N,Y,Y,Y,N,,031-885-9760,2021-08-09
서여주(창원),45,중부내륙,하행,37.279412,127.578083,간이휴게소,0:00,23:59,51095,65,N,Y,Y,Y,N,,031-884-9714,2021-08-09
서울만남(부산),1,경부선,하행,37.460166,127.041908,일반휴게소,0:00,23:59,13845,262,N,Y,Y,Y,N,,02-578-3372,2021-08-09
서천(목포),15,서해안선,하행,36.129505,126.626485,일반휴게소,0:00,23:59,57948,147,N,Y,Y,Y,N,,041-952-5757,2021-08-09
서천(서울),15,서해안선,상행,36.131929,126.627834,일반휴게소,0:00,23:59,54919,206,N,Y,Y,Y,N,,041-952-9700,2021-08-09
선산(양평),45,중부내륙선,상행,36.277941,128.249296,일반휴게소,0:00,23:59,32460,274,N,Y,Y,Y,N,,054-482-6011,2021-08-09
선산(창원),45,중부내륙선,하행,36.274223,128.250745,일반휴게소,0:00,23:59,28943,297,N,Y,Y,Y,N,,054-482-6031,2021-08-09
섬진강(부산),25,호남선,상행,34.9847001,127.770697,일반휴게소,0:00,23:59,18130,195,N,Y,N,Y,N,,061-772-7986,2021-08-09
섬진강(순천),25,호남선,하행,34.985669,127.769329,일반휴게소,0:00,23:59,15454,184,N,Y,N,Y,N,,061-772-7993,2021-08-09
성주(양평),45,중부내륙선,상행,36.0082601,128.261541,화물차휴게소,0:00,23:59,38848,180,N,Y,N,Y,N,,054-933-0800,2021-08-09
성주(창원),45,중부내륙선,하행,36.010603,128.259675,화물차휴게소,0:00,23:59,38631,180,N,Y,N,Y,N,,054-932-0800,2021-08-09
속리산(청주),30,당진영덕선,하행,36.447804,127.869061,일반휴게소,0:00,23:59,53607,150,N,Y,Y,Y,N,,043-544-1466,2021-08-09
순천(순천),25,호남선,하행,35.0085501,127.445044,간이휴게소,0:00,23:59,23306,42,N,N,Y,Y,N,,061-755-4982,2021-08-09
시흥하늘,100,수도권제1순환선,양방향,37.383794,126.855452,일반휴게소,0:00,23:59,16700,560,N,Y,Y,Y,Y,,031-481-9764,2021-08-09
신탄진(서울),1,경부선,상행,36.426834,127.418438,화물차휴게소,0:00,23:59,63846,293,Y,Y,Y,Y,N,,042-934-2442,2021-08-09
안동(부산),55,중앙선,하행,36.553167,128.641923,일반휴게소,0:00,23:59,42822,190,N,Y,Y,Y,N,,054-853-4370,2021-08-09
안동(춘천),55,중앙선,상행,36.5534301,128.645144,일반휴게소,0:00,23:59,40874,254,N,Y,Y,Y,N,,054-853-4061,2021-08-09
안성(부산),1,경부선,하행,37.013407,127.1448001,일반휴게소,0:00,23:59,28974,479,N,Y,Y,Y,N,,031-655-0531,2021-08-09
안성(서울),1,경부선,상행,37.076681,127.132496,일반휴게소,0:00,23:59,85692,385,N,Y,Y,Y,N,,031-611-5793,2021-08-09
안성맞춤(제천),40,평택제천선,하행,36.968057,127.274261,일반휴게소,0:00,23:59,66492,148,N,Y,Y,Y,N,,031-674-4406,2021-08-09
안성맞춤(평택),40,평택제천선,상행,36.969915,127.274619,일반휴게소,0:00,23:59,59766,141,N,Y,Y,Y,N,,031-673-3822,2021-08-09
양산(서울),1,경부선,상행,35.323172,129.056867,일반휴게소,0:00,23:59,35779,207,N,Y,Y,Y,N,,055-384-0144,2021-08-09
언양(서울),1,경부선,상행,35.597942,129.141801,일반휴게소,0:00,23:59,27816,170,N,Y,Y,Y,N,,052-263-6153,2021-08-09
여산(순천),25,호남선,하행,36.048555,127.102333,일반휴게소,0:00,23:59,51744,2,N,Y,Y,Y,N,,063-836-5280,2021-08-09
여산(천안),25,호남선,상행,36.048528,127.104716,일반휴게소,0:00,23:59,28050,184,N,Y,Y,N,N,,063-836-5168,2021-08-09
여주(강릉),50,영동선,상행,37.238022,127.568892,일반휴게소,0:00,23:59,52610,252,N,Y,Y,Y,Y,,031-882-3120,2021-08-09
여주(인천),50,영동선,하행,37.239739,127.569949,일반휴게소,0:00,23:59,47973,247,N,Y,Y,Y,N,,031-882-2900,2021-08-09
영산(창원),451,중부내륙지선,하행,35.429794,128.495915,일반휴게소,0:00,23:59,20609,102,N,Y,Y,Y,N,,055-521-2978,2021-08-09
영천(대구),20,대구포항선,하행,36.053254,129.044422,화물차휴게소,0:00,23:59,80288,304,N,Y,Y,Y,N,,054-338-0037,2021-08-09
영천(포항),20,대구포항선,상행,36.051451,129.042544,화물차휴게소,0:00,23:59,74442,270,N,Y,Y,Y,N,,054-338-0062,2021-08-09
예산(당진),30,당진영덕선,하행,36.619429,126.846389,일반휴게소,0:00,23:59,66423,150,N,Y,Y,Y,N,,041-335-0020,2021-08-09
예산(대전),30,당진영덕선,상행,36.6234601,126.839619,일반휴게소,0:00,23:59,62787,119,N,Y,Y,Y,N,,041-334-0094,2021-08-09
오수(순천),27,순천완주선,하행,35.540925,127.309267,일반휴게소,0:00,23:59,57978,156,N,Y,Y,Y,N,,063-644-6116,2021-08-09
오수(완주),27,순천완주선,상행,35.540271,127.311622,일반휴게소,0:00,23:59,44883,156,N,Y,Y,Y,N,,063-644-5115,2021-08-09
오창(남이),35,중부선,하행,36.758481,127.481777,일반휴게소,0:00,23:59,11001,49,N,Y,N,Y,N,,043-217-1477,2021-08-09
오창(하남),35,중부선,상행,36.756581,127.481909,일반휴게소,0:00,23:59,16297,65,N,Y,N,Y,N,,043-217-8303,2021-08-09
옥계(속초),65,동해선,상행,37.616198,129.060129,일반휴게소,0:00,23:59,70390,230,N,Y,Y,Y,N,,033-534-1700,2021-08-09
옥산(부산),1,경부선,하행,36.657743,127.369817,화물차휴게소,0:00,23:59,33272,319,Y,Y,Y,Y,N,,043-260-1053,2021-08-09
옥천(부산),1,경부선,하행,36.296863,127.595223,화물차휴게소,0:00,23:59,43421,145,Y,Y,Y,Y,N,,043-731-8521,2021-08-09
옥천(서울),1,경부선,상행,36.297616,127.598777,일반휴게소,0:00,23:59,25278,126,Y,Y,Y,Y,N,,043-731-8097,2021-08-09
옥천만남,1,경부선,양방향,36.308718,127.572308,화물차휴게소,0:00,23:59,45218,169,Y,Y,N,Y,N,,043-732-0081,2021-08-09
와촌(포항),20,대구포항선,상행,35.951819,128.775563,일반휴게소,0:00,23:59,41484,163,N,Y,Y,Y,N,,053-853-1002,2021-08-09
외동(부산),65,울산포항선,하행,35.672753,129.285277,일반휴게소,0:00,23:59,27498,72,N,Y,N,Y,N,,054-745-0637,2021-08-09
외동(포항),65,울산포항선,상행,35.672847,129.288543,일반휴게소,0:00,23:59,29069,72,N,Y,N,Y,N,,054-745-0631,2021-08-09
용인(강릉),50,영동선,상행,37.245583,127.2419801,일반휴게소,0:00,23:59,33223,286,N,Y,Y,Y,N,,031-339-3663,2021-08-09
용인(인천),50,영동선,하행,37.248318,127.238342,일반휴게소,0:00,23:59,32862,163,N,Y,Y,Y,N,,031-339-3660,2021-08-09
울주(울산),14,밀양울산선,상행,35.510821,129.130435,일반휴게소,0:00,23:59,0,0,N,Y,N,N,N,,052-977-3243,2021-08-09
울주(함양),14,밀양울산선,하행,35.5131601,129.128519,일반휴게소,0:00,23:59,0,0,N,Y,N,N,N,,052-933-5242,2021-08-09
원주(부산),55,중앙선,하행,37.435194,127.929063,일반휴게소,0:00,23:59,48897,173,N,Y,Y,Y,N,,033-731-4291,2021-08-09
원주(춘천),55,중앙선,상행,37.434542,127.931768,일반휴게소,0:00,23:59,42927,188,N,Y,N,Y,N,,033-731-8194,2021-08-09
음성(남이),35,중부선,하행,37.019638,127.480712,일반휴게소,0:00,23:59,77783,361,N,Y,Y,Y,N,,043-878-6410,2021-08-09
음성(하남),35,중부선,상행,37.022065,127.484315,일반휴게소,0:00,23:59,43895,260,N,Y,Y,Y,N,,043-878-6403,2021-08-09
의성(영덕),30,상주영덕선,상행,36.409501,128.447699,간이휴게소,0:00,23:59,19101,47,N,Y,Y,Y,N,,054-862-9252,2021-08-09
의성(청주),30,상주영덕선,하행,36.410954,128.4447101,간이휴게소,0:00,23:59,16237,47,N,Y,Y,Y,N,,054-862-9076,2021-08-09
이서(순천),25,호남선,하행,35.803936,127.023705,화물차휴게소,0:00,23:59,27508,91,N,Y,Y,Y,N,,063-227-4114,2021-08-09
이서(천안),25,호남선,상행,35.801932,127.025759,화물차휴게소,0:00,23:59,29463,90,N,Y,Y,Y,N,,063-236-2592,2021-08-09
이천(남이),35,중부선,하행,37.264574,127.403687,일반휴게소,0:00,23:59,82868,244,N,Y,Y,Y,N,,031-637-0987,2021-08-09
이천(하남),35,중부선,상행,37.293979,127.378203,일반휴게소,0:00,23:59,70002,128,N,Y,Y,Y,N,,031-638-1117,2021-08-09
입장거봉포도(서울),1,경부선,상행,36.942997,127.192467,화물차휴게소,0:00,23:59,81553,309,Y,Y,Y,Y,N,,041-588-7868,2021-08-09
장유(서부산),10,남해선,하행,35.212074,128.7935801,일반휴게소,0:00,23:59,41925,107,N,Y,Y,Y,N,,055-313-2610,2021-08-09
장흥정남진,10,남해선,양방향,34.720894,126.931319,일반휴게소,0:00,23:59,0,0,N,Y,N,N,N,,061-864-5007,2021-08-09
정읍녹두장군(순천),25,호남선,하행,35.601465,126.862006,일반휴게소,0:00,23:59,40011,126,N,Y,Y,Y,N,,063-532-0510,2021-08-09
정읍녹두장군(천안),25,호남선,상행,35.599975,126.864336,일반휴게소,0:00,23:59,28126,174,N,Y,Y,Y,N,,063-532-2373,2021-08-09
주암(순천),25,호남선,하행,35.076197,127.2641001,일반휴게소,0:00,23:59,28705,95,N,Y,Y,Y,N,,061-754-4980,2021-08-09
주암(천안),25,호남선,상행,35.076587,127.265762,일반휴게소,0:00,23:59,25780,120,N,Y,Y,Y,N,,061-754-2432,2021-08-09
죽암(부산),1,경부선,하행,36.4868101,127.429261,일반휴게소,0:00,23:59,29312,175,N,Y,Y,Y,N,,043-269-0850,2021-08-09
죽암(서울),1,경부선,상행,36.496775,127.4306501,일반휴게소,0:00,23:59,18860,240,Y,Y,Y,Y,N,,043-260-8035,2021-08-09
죽전(서울),1,경부선,상행,37.332371,127.104795,일반휴게소,0:00,23:59,28982,186,N,Y,N,Y,N,,031-262-3168,2021-08-09
지리산(광주),12,광주대구선,하행,35.483942,127.567106,일반휴게소,0:00,23:59,40224,141,N,Y,Y,Y,N,,063-636-7195,2021-08-09
지리산(대구),12,광주대구선,상행,35.481353,127.566804,일반휴게소,0:00,23:59,61516,104,N,Y,Y,Y,N,,063-636-7191,2021-08-09
진안마이산(익산),20,익산장수선,하행,35.777898,127.425279,일반휴게소,0:00,23:59,53532,118,N,Y,Y,Y,N,,063-432-1380,2021-08-09
진안마이산(장수),20,익산장수선,상행,35.7748201,127.426362,일반휴게소,0:00,23:59,50251,138,N,Y,Y,Y,N,,063-432-6350,2021-08-09
진영(부산),10,남해선,상행,35.2779101,128.715388,일반휴게소,0:00,23:59,22194,233,N,Y,N,Y,N,,055-342-3236,2021-08-09
진영(순천),10,남해선,하행,35.280059,128.716044,일반휴게소,0:00,23:59,31124,188,Y,Y,Y,Y,N,,055-342-3959,2021-08-09
진주(부산),10,남해선,상행,35.159772,128.1220101,간이휴게소,0:00,23:59,93523,231,N,Y,Y,Y,N,,055-759-3205,2021-08-09
천등산(제천),40,평택제천선,하행,37.061597,127.939378,일반휴게소,0:00,23:59,28016,69,N,Y,Y,Y,N,,043-844-2991,2021-08-09
천등산(평택),40,평택제천선,상행,37.076872,127.989171,일반휴게소,0:00,23:59,16876,69,N,Y,N,Y,N,,043-844-2930,2021-08-09
천안삼거리(서울),1,경부선,상행,36.787809,127.173455,일반휴게소,0:00,23:59,26533,257,N,Y,Y,Y,Y,,041-551-2480,2021-08-09
천안호두(부산),1,경부선,하행,36.730226,127.263879,일반휴게소,0:00,23:59,17803,176,N,Y,Y,Y,N,,041-552-4560,2021-08-09
청송(영덕),30,상주영덕선,상행,36.455725,129.0131901,일반휴게소,0:00,23:59,6394,51,N,Y,N,N,N,,054-872-9101,2021-08-09
청송(청주),30,상주영덕선,하행,36.456721,129.012028,일반휴게소,0:00,23:59,6014,51,N,Y,N,N,N,,054-872-5910,2021-08-09
청주(서울),1,경부선,상행,36.716005,127.349315,화물차휴게소,0:00,23:59,23402,287,N,Y,Y,Y,N,,043-237-1700,2021-08-09
청통(대구),20,대구포항선,하행,35.993928,128.859145,일반휴게소,0:00,23:59,47354,150,N,Y,Y,Y,N,,054-337-5009,2021-08-09
추풍령(부산),1,경부선,하행,36.200356,128.000331,일반휴게소,0:00,23:59,16546,176,Y,Y,Y,N,N,,054-430-2000,2021-08-09
추풍령(서울),1,경부선,상행,36.199708,128.003242,일반휴게소,0:00,23:59,0,0,Y,Y,Y,N,N,,054-439-3187,2021-08-09
춘천(부산),55,중앙선,하행,37.8126801,127.766078,일반휴게소,0:00,23:59,46378,209,N,Y,Y,Y,N,,033-264-0500,2021-08-09
충주(양평),45,중부내륙선,상행,37.023175,127.839297,일반휴게소,0:00,23:59,70169,237,N,Y,Y,Y,N,,043-857-9229,2021-08-09
충주(창원),45,중부내륙선,하행,37.022229,127.837071,일반휴게소,0:00,23:59,63390,294,N,Y,Y,Y,N,,043-857-9339,2021-08-09
치악(부산),55,중앙선,하행,37.253647,128.048514,일반휴게소,0:00,23:59,45696,156,N,Y,Y,Y,N,,033-762-9234,2021-08-09
치악(춘천),55,중앙선,상행,37.256692,128.0488701,일반휴게소,0:00,23:59,61992,136,N,Y,Y,Y,N,,033-762-8030,2021-08-09
칠곡(부산),1,경부선,하행,36.019795,128.428517,화물차휴게소,0:00,23:59,29675,300,Y,Y,Y,Y,N,,054-975-2277,2021-08-09
칠곡(서울),1,경부선,상행,36.012005,128.4308001,일반휴게소,0:00,23:59,45558,257,Y,Y,Y,Y,N,,054-975-1883,2021-08-09
칠서(양평),451,중부내륙지선,상행,35.3708801,128.496807,일반휴게소,0:00,23:59,22467,108,Y,Y,Y,Y,N,,055-587-9656,2021-08-09
통도사(부산),1,경부선,하행,35.488841,129.090775,일반휴게소,0:00,23:59,23752,117,N,Y,Y,Y,N,,055-383-6145,2021-08-09
평사(부산),1,경부선,하행,35.885522,128.867541,일반휴게소,0:00,23:59,44617,187,N,Y,Y,Y,N,,053-852-8651,2021-08-09
평창(강릉),50,영동선,상행,37.6055701,128.452681,일반휴게소,0:00,23:59,24871,98,N,Y,Y,Y,N,,033-334-5100,2021-08-09
평창(인천),50,영동선,하행,37.610876,128.463363,일반휴게소,0:00,23:59,25690,98,N,Y,Y,Y,N,,033-333-6131,2021-08-09
평택,40,평택제천선,양방향,37.045585,126.943774,일반휴게소,0:00,23:59,0,0,N,Y,Y,Y,Y,,031-683-4800,2021-08-09
하남드림,35,중부선,양방향,37.530281,127.206084,일반휴게소,0:00,23:59,29882,721,N,Y,Y,Y,N,,031-791-4200,2021-08-09
함안(부산),10,남해선,상행,35.294068,128.346957,일반휴게소,0:00,23:59,63813,274,N,Y,Y,Y,N,,055-582-2191,2021-08-09
함안(순천),10,남해선,하행,35.294701,128.344767,일반휴게소,0:00,23:59,61050,263,N,Y,Y,N,N,,055-582-5470,2021-08-09
함양(대전),35,대전통영선,상행,35.551611,127.7604201,일반휴게소,0:00,23:59,20787,101,N,Y,Y,Y,N,,055-963-8001,2021-08-09
함양(통영),35,대전통영선,하행,35.551322,127.758563,일반휴게소,0:00,23:59,29993,107,N,Y,Y,Y,N,,055-963-6717,2021-08-09
함평나비(광주),12,무안광주선,상행,35.037283,126.511676,일반휴게소,0:00,23:59,50294,105,N,Y,Y,Y,N,,061-324-8840,2021-08-09
함평나비(무안),12,무안광주선,하행,35.038198,126.508813,일반휴게소,0:00,23:59,47179,105,N,Y,Y,Y,N,,061-324-8858,2021-08-09
함평천지(목포),15,서해안선,하행,35.069687,126.478247,일반휴게소,0:00,23:59,26068,93,N,Y,N,Y,N,,061-323-3751,2021-08-09
함평천지(서울),15,서해안선,상행,35.130746,126.482295,일반휴게소,0:00,23:59,46847,118,N,Y,Y,Y,N,,061-323-3641,2021-08-09
